learningMaterialTitle,average_rating,feedback_count
Callide cras demoror delicate audax sufficio cito recusandae adduco.,5.0,1
Canonicus soluta vel quisquam adeptio.,3.6666666666666665,3
Canto consuasor confero annus tamquam cruentus animadverto.,4.5,2
Canto magnam tracto aequus.,5.0,1
Capillus cimentarius degusto tactus deserunt suus vivo.,4.0,1
Capillus omnis ipsum temperantia clamo viridis aurum custodia antiquus.,2.0,2
Capio argumentum acsi.,1.0,1
Capio vivo turba.,5.0,1
Capto cogito causa advenio tepesco ventosus.,3.0,1
Careo contigo textus tempora somniculosus cresco.,5.0,1
Careo umquam ustilo arx reprehenderit demonstro quia.,4.5,2
Caries abutor vetus tabgo currus cogo arbitro asperiores.,5.0,1
Caries certe talus.,4.5,2
Cariosus atqui depraedor solus somniculosus animadverto.,2.0,1
Caritas amo velut anser considero vallum rerum atque absconditus.,3.0,1
Carus appello video adulescens verbum voluptatem.,1.0,1
Cauda nemo venustas somniculosus depopulo.,4.0,1
Causa consuasor vulgo.,5.0,1
Cenaculum abutor usus sapiente adsuesco vinum reiciendis admiratio super abundans.,1.5,2
Censura adfectus tero recusandae basium.,2.0,1
Certe appositus via tenax.,2.0,1
Certe nulla amaritudo uredo addo expedita denuo.,2.0,1
Certe quasi tertius tutamen vos arcesso.,5.0,1
Certe vomer utique benigne ullam tondeo amet coepi deinde esse.,1.0,1
Cervus blandior combibo impedit vorax charisma attero deduco.,2.0,2
Cetera excepturi dolore maiores appello utrum.,5.0,2
Cetera solus audacia communis advoco votum calamitas creta.,1.0,1
Charisma comedo victoria tersus ipsam angulus.,2.6666666666666665,3
Chirographum similique videlicet.,2.0,2
Cibo abundans cura.,2.5,2
Cibus adulescens beatae in odit terga cohibeo.,2.0,1
Cicuta textilis arcus caterva.,1.0,1
Cilicium totidem creo.,1.0,1
Cinis amet amo spargo volubilis damnatio vito.,3.5,2
Cinis ater cavus enim cursim facilis.,5.0,1
Cinis culpo autus defessus ago velociter anser bibo.,2.0,1
Circumvenio amplitudo stultus stultus subnecto facilis usque caveo vinum.,2.0,1
Cito canto stipes calamitas studio absum.,3.6666666666666665,3
Claustrum tantum adfero sustineo rerum.,1.0,1
Coepi repellendus usque una cito illum.,2.0,1
Coepi theca una.,1.5,2
Cogo cultura commodo minus.,3.6666666666666665,3
Cogo cupiditate abbas conscendo solium.,5.0,2
Cohors adflicto coma.,5.0,1
Cohors decumbo bellum magnam circumvenio adduco tenuis decimus.,2.0,2
Cohors demergo velociter.,5.0,1
Colligo baiulus vitiosus usus vindico eligendi magnam.,3.5,2
Colligo cometes comburo quia depulso tot tener cornu delibero.,2.0,2
Colo delibero voveo deserunt cubitum suggero delectatio aeger uter.,3.6666666666666665,3
Comes via curatio aperiam cognomen.,2.0,1
Communis depraedor angustus sufficio totidem subiungo vitae deporto reiciendis corpus.,2.5,2
Comparo crur vereor acervus timor votum sufficio.,3.0,1
Comprehendo abundans cinis caute annus cruentus theologus error.,4.0,1
Comprehendo corona aperio comparo apostolus adulescens.,2.0,1
Comprehendo tamquam damno.,3.0,1
Conculco tametsi tantum custodia verecundia.,5.0,1
Congregatio audentia damno bardus succedo.,4.0,1
Conicio ad sto.,3.0,1
Conicio at canonicus suspendo crebro virgo non.,4.5,2
Coniuratio ipsa reiciendis.,3.0,2
Conor auditor tametsi rerum tribuo censura tubineus rerum universe addo.,1.0,1
Conqueror tabgo adversus stultus versus accedo cornu.,5.0,1
Conqueror virgo talis dolorum calculus.,4.0,2
Consectetur altus sto depereo abutor color.,2.5,2
Consequuntur alveus damno adsidue.,4.0,1
Consequuntur quo utor pauper.,3.0,1
Consuasor ante careo pecco vergo vociferor doloremque.,3.0,2
Consuasor curatio basium.,4.0,2
Contabesco clarus adsuesco repellat tener voro voluptatibus tredecim sponte advenio.,3.0,1
Contabesco utpote bene carmen quibusdam vitium.,3.0,1
Copia expedita atavus annus.,2.0,1
Copia taedium consectetur ustilo.,3.0,1
Corporis ars adamo conservo concido quis claustrum assentator admitto atrox.,3.5,2
Corpus viriliter communis sed demonstro vesco autem voluptate.,2.0,1
Correptius currus infit angustus.,2.0,1
Corroboro adiuvo tonsor harum adinventitias corrupti.,3.0,4
Corroboro voluptatem tolero consuasor.,4.0,1
Corrumpo bellicus collum curriculum alius utrimque reprehenderit.,1.0,1
Corrumpo vestrum reprehenderit deporto.,3.5,4
Coruscus aveho demoror ager fuga.,4.0,2
Coruscus venustas utor paulatim absorbeo.,1.0,1
Cotidie amet timidus.,3.3333333333333335,3
Crapula ut suggero uberrime.,1.0,1
Cras acies aggredior maiores cariosus cohaero adulescens eos soluta deripio.,4.0,2
Cras ascit appositus conor aptus iusto.,4.0,1
Creber creber assumenda.,4.0,1
Crebro ocer compono.,4.5,2
Creta capio denuo.,4.0,1
Cribro cohaero theatrum defaeco minus tamen aiunt.,3.0,2
Crinis vitium voluptates terror casus cribro arceo viscus terror.,5.0,1
Cruentus sol spectaculum.,4.0,2
Cui deprecator debitis creber deleo calcar.,3.0,2
Cuius repudiandae ea voluptate tres tutis temeritas.,3.5,2
Culpa adsidue vel tyrannus clamo pecto conforto suasoria.,2.0,3
Culpa demoror vomito auctus dens territo defungo custodia ventito decipio.,2.0,1
Culpa tabula cimentarius tonsor ipsam alius magni.,5.0,1
Culpo quisquam tamdiu minus inflammatio quae.,1.0,1
Culpo totus delibero casso distinctio sub.,1.3333333333333333,3
Cultellus argumentum infit strenuus nam suus taceo suscipit.,5.0,1
Cum amiculum conspergo inventore caecus stella.,3.0,2
Cum tricesimus vito bene surculus crux vigor.,3.5,2
Cunabula antea vulnus xiphias.,3.0,1
Cunae tabgo odit desipio calamitas conor exercitationem tergiversatio.,2.5,2
Cupiditas contra cognomen audacia tactus ait bestia sequi absens.,1.0,1
Cura astrum sponte.,5.0,1
Curiositas apto subvenio.,1.0,1
Curis adficio absconditus curriculum.,3.0,2
Curso aestas temperantia.,3.0,4
Curso ultra crinis tripudio celo sui tenetur abbas cimentarius tabernus.,2.0,1
Cursus terra adaugeo terminatio utroque depulso pauper bene sollers.,3.0,1
Curto magnam cras tondeo sto delectus curso cui.,1.0,1
Curtus cribro caterva tenetur volo crinis maxime.,1.0,1
Curtus subnecto capillus bene dolor sui illum illum repellendus.,2.6666666666666665,3
Curtus vae pauci fugit defaeco.,2.5,2
Custodia volup apto minus vinum cattus arx convoco deleniti.,3.0,1
Damno canis paens cruentus ascisco sperno similique suspendo solio auctus.,4.0,2
Dapifer paens conqueror caveo crebro pecus.,4.5,2
Dapifer terra expedita comparo adulatio absconditus arbustum crudelis.,4.0,1
Debeo xiphias congregatio cruentus uberrime somnus distinctio utrimque causa tenus.,2.0,1
Debitis vociferor conculco terreo ipsum cumque.,3.5,2
Decimus absque aptus synagoga.,5.0,1
Decimus tempore tot cum vereor debitis spes consectetur deludo.,2.0,1
Decipio crebro caterva vorago succedo solitudo tactus curriculum ara aptus.,4.0,2
Decumbo conforto thesis.,3.0,3
Dedecor denuo clamo ciminatio modi vinitor vis.,3.0,1
Dedecor tredecim totidem canonicus sequi curo laborum defero cubicularis curiositas.,2.0,1
Defetiscor umerus tenax comptus ter tego harum sophismata cohaero.,5.0,1
Defleo defessus sophismata substantia curia apud compono conscendo alveus omnis.,3.0,1
Defluo apparatus barba combibo ante ventosus.,5.0,1
Degenero paulatim demitto clibanus dignissimos tenetur vomito.,5.0,1
Deinde confero audio illum.,3.0,2
Deinde virgo tres vilicus id.,4.0,1
Delego astrum alo coepi colligo demens claudeo.,5.0,1
Deleo ambitus vestrum caelestis.,2.6666666666666665,3
Deludo curatio torqueo at inventore socius cura communis.,2.5,2
Demens comedo tenuis demulceo utor suscipit adeo in aeternus volubilis.,4.0,1
Demergo comitatus debitis consequuntur caste comes aptus vae tunc.,4.0,1
Demergo maxime aliquid demum casso attonbitus utroque cupiditas aer venustas.,3.0,1
Demo delectatio sum crebro sint doloribus delicate officia.,3.0,1
Demum undique veritatis adaugeo via.,4.0,1
Demum vix repudiandae degusto eligendi vilitas asper.,1.0,1
Denuncio aggero dolorem utpote dapifer angelus sollicito distinctio sumptus vox.,2.2,5
Denuncio consequuntur clamo.,1.75,4
Denuo cura traho accusantium.,4.0,1
Denuo in caelestis tero.,4.0,1
Deorsum aufero vitiosus ciminatio absum tergiversatio atrocitas.,2.0,2
Deorsum confugo cogito cognomen video totam super tondeo sursum vinco.,1.0,1
Depereo quasi aeger quisquam solitudo.,2.0,1
Depopulo impedit stips ambitus depraedor animus demulceo.,3.5,2
Depraedor velit tenax suggero cinis via aeternus.,4.5,2
Depromo aeger tyrannus sollicito sursum ter clam vigor amplexus bibo.,5.0,1
Depromo somniculosus calco.,1.5,2
Depromo vereor aestus caries summopere copiose totus.,3.5,2
Depulso vox aestus adsuesco denuncio demoror.,3.0,2
Derelinquo abundans verus.,2.3333333333333335,3
Derelinquo consectetur accommodo tribuo adeptio.,3.3333333333333335,3
Deripio vestrum talus tumultus benevolentia.,4.0,1
Deserunt suggero vivo.,2.0,1
Desipio vorax animadverto xiphias subito arbitro.,4.0,1
Desolo vespillo abutor.,4.0,2
Desparatus aveho corpus depono animadverto auditor confero admiratio.,5.0,1
Desparatus defessus timidus terror decimus clementia solum damno arx alveus.,2.0,1
Despecto necessitatibus aurum summisse labore volva.,4.0,1
Despecto vestigium dens.,2.0,2
Dolorem adfero varius saepe patior.,3.0,1
Doloremque explicabo nihil illo.,2.0,1
Dolores tondeo amet.,2.5,2
Doloribus dens comparo hic confido contigo.,5.0,1
Eaque vivo cernuus acsi vaco aequitas brevis.,3.0,1
Earum modi crur auxilium vindico modi coma creo.,3.0,1
Eligendi terga degusto approbo.,3.0,5
Enim verto arca damno dolorum vos articulus basium patior baiulus.,1.0,1
Eum claro usque ultio asperiores succedo contego.,1.0,1
Eum sumo vigor accedo caelestis amo vulariter ad pax cito.,2.0,1
Ex deporto illo temporibus sursum eaque vel vinitor arguo.,2.75,4
Ex depulso comburo dolore agnosco.,5.0,1
Ex tardus odio vapulus voluptas aveho.,3.0,1
Excepturi tamen custodia clamo corrumpo curso caecus.,1.0,1
Excepturi vorago argumentum verbum combibo quos utpote corporis cervus.,1.0,1
Expedita terreo cunctatio combibo.,3.0,1
Expedita vere tum creator patruus aspernatur cariosus claudeo facilis textor.,4.333333333333333,3
Explicabo concido sopor astrum civis tricesimus coadunatio theologus vulgivagus.,5.0,1
Fuga calamitas tantillus solutio confugo corroboro correptius animadverto.,3.0,1
Fugiat distinctio temperantia curtus.,2.0,1
Harum confido curvo tribuo thorax vergo vestigium voro contabesco.,3.0,2
Harum decens caterva circumvenio tonsor.,4.0,2
Hic beatus crebro animi demulceo.,5.0,1
Illo curo careo carmen crinis vinco repellendus.,2.0,1
Impedit aduro sunt.,5.0,2
In accedo commodo viriliter non cado capto atque utrimque vomica.,3.0,1
Infit ultra officiis anser deprimo supra vilitas tremo quidem.,5.0,2
Inflammatio censura placeat.,3.0,1
Inflammatio quia vobis vinitor depereo cauda amitto carus.,3.0,1
Inventore vir cupiditate comes bis.,3.5,2
Ipsa vomito rerum suus theologus.,5.0,1
Ipsam campana quo ascit strues odit sursum atavus utrum.,3.5,2
Itaque adhuc creptio.,4.0,1
Itaque verus voro creta aufero depereo verecundia error.,2.0,1
Iure vitium desipio caritas excepturi adfectus abeo volo vinum.,5.0,1
Iusto toties adeptio vulgaris voluptatum circumvenio vorago dolorum verus tunc.,1.0,1
Labore taedium dolor quam cogito acsi bos abscido cernuus et.,4.0,1
Laudantium corpus verus verbera pel.,4.0,1
Libero curvo tamquam.,4.0,2
Libero tergiversatio succurro averto ascisco bardus.,1.75,4
Magnam timor angustus magnam strenuus comes.,2.5,2
Magni deprimo caecus abbas.,3.0,1
Maxime esse creptio labore credo sodalitas amaritudo vehemens speciosus.,5.0,1
Minus enim aurum tametsi angelus vado adsuesco ascit.,5.0,1
Molestiae antepono quo taedium defessus terreo congregatio terror vapulus error.,2.0,1
Molestiae uterque cupressus tenus administratio considero apud ipsam aggredior surgo.,2.6666666666666665,3
Mollitia aurum atqui adsuesco arx voro enim cursus.,3.0,1
Mollitia cupio desino.,5.0,1
Mollitia damno beatae sonitus artificiose patruus.,4.0,1
Nam quas cito incidunt deserunt conventus.,4.0,2
Nemo aestas tergo tamquam versus vulpes viridis.,2.0,2
Nesciunt aetas appositus ara numquam tristis laudantium voveo.,3.3333333333333335,3
Nihil spes sono dapifer sonitus coniuratio acidus.,5.0,1
Nihil voluptate porro sollicito timidus adhaero absque.,2.0,2
Nisi sui tolero adaugeo ustilo xiphias clibanus umquam subseco.,2.6666666666666665,3
Nisi timidus ventosus titulus synagoga.,3.5,2
Nostrum studio absum terga centum absque uberrime demoror.,5.0,1
Numquam iure dolorem stultus surculus tabesco eius.,1.0,1
Officia adinventitias acies bene claudeo decumbo armarium communis vel.,1.5,2
Officiis auctus sint.,3.0,1
Paens vesper bene ago commodo.,3.5,2
Paens voluptatum caritas usitas caries iste validus tabesco tunc centum.,1.5,2
Pariatur temptatio dapifer.,5.0,1
Pariatur vilicus ubi exercitationem patria astrum.,1.0,1
Patior suggero decretum cribro iste ago.,1.0,1
Patria charisma teneo tamen ventosus.,2.0,1
Patrocinor voluptas aer contigo temperantia adopto denuncio.,3.0,2
Paulatim voveo deludo acceptus vesco.,2.5,4
Pauper undique aperte sufficio sursum sodalitas.,2.5,2
Pax depraedor aurum.,2.0,1
Pax ratione caritas magni.,4.0,3
Peccatus versus deporto hic absconditus timor super delego amiculum.,2.0,1
Pecto tepidus bestia charisma viriliter accommodo terreo degusto error.,4.0,1
Pectus voluptatum curriculum absorbeo bene solitudo tertius.,1.0,1
Perferendis cavus copiose bellum ver perspiciatis.,3.0,1
Perspiciatis vociferor quia cernuus universe sed contabesco patria contabesco sumptus.,4.0,1
Possimus tergum decor.,1.5,2
Praesentium auctus addo solus adduco non stipes.,5.0,1
Quas ago tribuo vesica nam demergo molestiae enim accommodo molestias.,2.0,3
Quasi curriculum strenuus suscipit adficio.,1.0,1
Qui tenuis blandior censura viscus soluta venia excepturi.,3.0,1
Quia adulescens validus deporto circumvenio acidus absorbeo tollo tunc paulatim.,5.0,2
Quibusdam comparo delectus agnitio pariatur.,3.0,1
Quis demoror aut pecus natus sursum eveniet strues tergo cruentus.,5.0,1
Quisquam absorbeo templum tepidus volubilis sonitus thesis.,3.0,2
Quisquam acer calamitas speciosus dignissimos vergo acies ambulo turba.,4.0,1
Quisquam suasoria causa suspendo versus tyrannus.,2.0,2
Quos voluptates amitto aut.,4.0,2
Ratione constans tandem comparo curatio amplexus vesper terga vox.,3.0,1
Ratione quas non.,3.0,1
Recusandae thymum adnuo bos tripudio virtus depulso ulciscor theologus.,3.5,4
Recusandae undique curia.,3.5,2
Reiciendis quod comparo stella articulus assentator beatus.,1.0,1
Reiciendis tersus consuasor triduana amita apparatus.,3.5,2
Reprehenderit comedo voro conatus depereo sumo fugiat clarus temperantia.,4.0,1
Reprehenderit testimonium synagoga clibanus degenero adinventitias.,5.0,1
Repudiandae solitudo tempore decerno vesica candidus.,4.0,1
Rerum abscido coerceo tabesco aer rerum excepturi doloribus vulgo deprecator.,4.0,1
Rerum ancilla asporto charisma.,2.0,2
Saepe earum ambulo vinitor undique censura aer cito.,2.0,2
Saepe patrocinor patrocinor laudantium.,3.5,2
Sapiente bibo terror depopulo adnuo.,3.0,1
Sed caveo defendo pax.,3.3333333333333335,3
Sed itaque tabgo avarus vestigium defleo ambitus.,2.0,1
Sequi deprecator angustus solvo cilicium damnatio subnecto.,4.0,2
Similique titulus copia amplexus.,1.0,1
Soleo comedo surculus arcus iusto.,3.0,4
Soleo summa pariatur suadeo non vitium.,3.0,1
Solio ustulo apparatus.,2.6666666666666665,3
Sollers charisma cimentarius.,5.0,1
Sollers civis sortitus cogo vespillo sublime iusto basium.,5.0,1
Sollers ipsum arbustum voluptate collum argumentum.,3.0,1
Solum ter amor tristis bardus amet conatus acceptus bonus cresco.,3.5,2
Somniculosus incidunt vilitas baiulus uberrime similique viridis suppellex.,3.0,1
Somnus amicitia tabesco arguo circumvenio illo demoror.,1.5,2
Somnus verus conculco abeo tracto summa deinde.,5.0,1
Sonitus comitatus sed.,5.0,1
Sopor territo caelestis despecto atrocitas audentia odit.,2.0,1
Sopor vereor vergo excepturi atque adulatio.,1.0,1
Sortitus cubicularis atavus quos coniuratio patria.,2.5,2
Speculum aestas deleo desidero.,2.3333333333333335,3
Speculum alienus astrum ubi asper acquiro absconditus casso dens.,4.0,1
Speculum consequuntur cui coniecto subiungo color verecundia laborum ter ex.,4.0,1
Sperno adimpleo amicitia solvo videlicet ceno.,5.0,1
Spero facilis socius.,3.0,1
Spoliatio sit suscipit.,1.5,2
Sponte aptus comminor.,2.0,1
Sponte delinquo talus adficio sit voluptatibus confugo caritas cetera.,3.0,1
Sponte validus aranea fugiat adsuesco curto crastinus eveniet aeger correptius.,3.0,1
Stabilis quod agnitio thesaurus valde doloremque bene ascit uterque occaecati.,5.0,1
Stabilis ventosus earum impedit demitto crur fugiat xiphias tendo tamen.,5.0,1
Stabilis vesco tyrannus aqua.,2.0,2
Stabilis viridis quod tergo civitas colligo caries calculus.,4.0,1
Statim succedo turba altus comburo aufero crinis asporto statim.,4.0,2
Statua cohibeo vulgo audio labore cedo super defleo.,3.5,2
Stips textus voluptates aperte celer speculum saepe ante.,3.0,3
Stips ver ascisco articulus terminatio auctus.,4.0,1
Sto advenio sustineo attonbitus conculco ulciscor deripio quibusdam solus.,2.0,2
Sto asperiores architecto cupressus suggero ceno antiquus desidero advoco caelum.,2.0,1
Stultus vestigium thymbra.,1.0,1
Suasoria congregatio abundans acidus suspendo thymum vicissitudo deserunt adaugeo.,5.0,1
Sub at ad aliquid ubi.,2.0,1
Sub tredecim iste.,1.0,1
Sublime admoneo facere subnecto eum temporibus pecus verbera admitto.,3.0,1
Sublime aut universe paulatim ascisco vesco.,4.0,1
Subseco cupio denego tergo.,3.0,2
Succedo territo delibero utroque.,2.0,1
Suggero consectetur coniuratio ver defleo.,4.0,1
Sum demulceo ducimus somnus ventito.,2.0,1
Summa statim subito clibanus conforto ustilo voluntarius.,3.5,4
Summisse comprehendo libero terra veniam comptus.,4.0,1
Summisse decor voco cetera.,2.0,1
Summopere ocer unus ipsam aureus ciminatio textor.,1.0,1
Sumo tot quas aegre terror.,3.0,1
Supellex ad canonicus antiquus adiuvo conitor colo.,1.0,2
Suppellex tonsor cohors absens cicuta aro.,1.0,1
Supplanto comptus culpo.,4.0,2
Supra tertius summa teres trepide abscido.,4.0,1
Sursum colligo adopto stultus cohibeo collum comis.,2.6666666666666665,3
Suscipio iusto cunctatio strenuus demum vis.,5.0,1
Suscipit summa volutabrum cunctatio.,2.0,1
Suscipit tunc cupressus et censura autus quaerat architecto desolo teneo.,3.0,1
Suus fugiat thorax.,4.0,1
Tabella triduana celebrer.,3.0,1
Tabernus assumenda compono solium.,3.0,2
Tabernus videlicet audentia itaque.,3.0,1
Taceo quibusdam videlicet rerum coerceo cado.,3.5,2
Taceo quo video utique debilito vesper.,4.0,1
Taedium numquam bellicus curto depraedor.,5.0,1
Taedium viridis sit comes tergum quia culpo.,5.0,1
Talio acidus solutio crur dignissimos bellicus tego.,3.0,1
Tam repellat aegrus absque calco doloribus similique approbo corrumpo voluntarius.,3.0,2
Tametsi harum conventus temperantia autus caries arcus.,3.5,2
Tandem aequitas talio amor carbo depraedor deporto conscendo summisse voluptatibus.,4.0,2
Tandem verbum admiratio angulus curvo fuga voluptatibus.,4.0,1
Tantum utrimque id aggero trans brevis timidus arca tabernus ventus.,3.0,1
Tantum vicinus amoveo minus texo brevis solvo.,3.0,2
Tego adduco voluptate viduo deleo cras compello.,1.0,1
Tego assumenda impedit vinco.,3.0,1
Tego cupiditate demens arcesso supplanto.,1.0,1
Templum appono surculus illo conservo.,3.3333333333333335,3
Temporibus surgo id.,3.5,2
Temptatio textor carpo comes saepe perferendis canis vitium aperio.,1.0,1
Temptatio torqueo repellat caveo pauci volubilis.,3.0,1
Tempus corporis cetera conatus aer cunabula territo admiratio animus aufero.,2.0,1
Tenax centum demergo thema.,3.0,1
Tenax tollo creator solitudo.,3.5,2
Tendo communis peior sopor abscido uter tum officia bardus.,4.0,2
Tendo patior vesica strenuus natus supplanto.,3.0,1
